# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     70     30     33      0      0      0      0      0      0   2619    345      0      0      0      1      0      0      0      0      1      1 
    0     70     29     33      0      0      0      0      0      0   2619    345      0      0      4      5      0      0      0      0      2      0 
    0    111     31     33      0      0      0      0      0      0   2619   1980      0      0    527    528      0      0      0      0      1      1 
    0    116     31     33      0      0      0      0      0      0   2619   1980      0      0    527    528      0      0      0      0      0      0 
    0    116     31     32      0      0      0      0      0      0   2619   1980      0      0    527    528      0      0      0      0      0      1 
    0    116     31     34      0      0      0      0      0      0   2619   1980      0      0    617    618      0      0      0      0      0      0 
    0    116     31     34      0      0      0      0      0      0   2619   1980      0      0    617    618      0      0      0      0      0      1 
    0    116     31     34      0      0      0      0      0      0   2619   1980      0      0    617    618      0      0      0      0      0      0 
    0    116     31     34      0      0      0      0      0      0   2619   1980      0      0    617    618      0      0      0      0      0      0 
    0    116     31     34      0      0      0      0      0      0   2619   1980      0      0    617    618      0      0      0      0    884     80 
    0    117     31     34      7      0      0      0      0      0   2619   1980      0      0  27391  27392      0      0      0      0   6405    553 
    0    117     31     34     12      0      0      0      0      0   2619   1980      0      0  27391  27392      0      0      0      0   6390    557 
    0    116     31     34      0      0      0      0      0      0   2619   1980      0      0  28891  28892      0      0      0      0      0      0 
    0    116     31     34      0      0      0      0      0      0   2619   1980      0      0  28891  28892      0      0      0      0      1      0 
    0    116     31     34      0      0      0      0      0      0   2619   1980      0      0  28927  28928      0      0      0      0    132      3 
    0    116     31     34      0      0      0      0      0      0   2619   1980      0      0  28987  28988      0      0      0      0     21      3 
    0    117     31     34      0      0      0      0      0      0   2619   1980      0      0  30237  30238      0      0      0      0      0   4488 
    0    242     34     36     21     12      0      0      0      0   2619   1980      0      0  33743  33764      0      0      0      0      7      0 
    0    639     38     40     37     19      0      0      0      0   2619   1950     66      0  38749  38750      0      0      0      0     34  12921 
    0    692     46     46    100     47      0      0      0      0   2619   1530    100      0  42953  42954      0      0      0      0   4449    395 
    0    690     49     48    100     53      0      0      0      0   2619   1920    100      0  43033  43034      0      0      0      0   4450    395 
    0    689     50     50     88     49      0      0      0      0   2619   1920    100      0  43033  43034      0      0      0      0     33  13452 
    0    693     50     51    100     50      0      0      0      0   2619   1425    100      0  43033  43034      0      0      0      0   4450    395 
    0    698     52     52    100     55      0      0      0      0   2619   1725    100      0  43033  43034      0      0      0      0   4449    395 
    0    689     53     52    100     54      0      0      0      0   2619   1800    100      0  43033  43034      0      0      0      0     36   8971 
    0    698     53     52    100     51      0      0      0      0   2619   1590    100      0  43033  43034      0      0      0      0   4449    395 
    0    695     54     54    100     55      0      0      0      0   2619   1770    100      0  43033  43034      0      0      0      0   4448    395 
    0    689     55     54    100     54      0      0      0      0   2619   1905    100      0  43033  43034      0      0      0      0   4452     10 
    0    695     56     54    100     54      0      0      0      0   2619   1575    100      0  43033  43034      0      0      0      0     28     11 
    0    695     56     56    100     54      0      0      0      0   2619   1770    100      0  43033  43034      0      0      0      0   4449    217 
    0    692     56     56    100     56      0      0      0      0   2619   1680    100      0  43033  43034      0      0      0      0   1618    199 
    0    698     58     56    100     54      0      0      0      0   2619   1590    100      0  43113  43114      0      0      0      0     37   9438 
    0    694     57     57    100     54      0      0      0      0   2619   1680    100      0  43113  43114      0      0      0      0   4449    395 
    0    696     57     58    100     55      0      0      0      0   2619   1770    100      0  43113  43114      0      0      0      0   3956    396 
    0    700     58     58    100     53      0      0      0      0   2619   1635    100      0  43113  43114      0      0      0      0     31   8973 
    0    698     58     58    100     54      0      0      0      0   2619   1665    100      0  43113  43114      0      0      0      0   4449    395 
    0    688     60     58    100     55      0      0      0      0   2619   1875    100      0  43113  43114      0      0      0      0   4449    396 
    0    696     59     60    100     53      0      0      0      0   2619   1605    100      0  43113  43114      0      0      0      0     37   8970 
    0    690     60     60    100     54      0      0      0      0   2619   1635    100      0  43113  43114      0      0      0      0   4450    396 
    0    696     60     60    100     55      0      0      0      0   2619   1650    100      0  43113  43114      0      0      0      0   4450    395 
    0    698     60     60    100     55      0      0      0      0   2619   1605    100      0  43113  43114      0      0      0      0     30   8971 
    0    691     61     60    100     53      0      0      0      0   2619   1845    100      0  43113  43114      0      0      0      0   4450    395 
    0    695     61     62    100     56      0      0      0      0   2619   1590    100      0  43113  43114      0      0      0      0   4474    404 
    0    699     61     62    100     54      0      0      0      0   2619   1590    100      0  43133  43134      0      0      0      0     99   9063 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    692     62     62    100     54      0      0      0      0   2619   1785    100      0  43113  43114      0      0      0      0   4450    397 
    0    688     63     62    100     55      0      0      0      0   2619   1710    100      0  43113  43114      0      0      0      0   3468    129 
    0    694     63     62    100     55      0      0      0      0   2619   1590    100      0  43113  43114      0      0      0      0     33   8971 
    0    688     62     62    100     54      0      0      0      0   2619   1770    100      0  43113  43114      0      0      0      0   4449    396 
    0    696     63     64    100     53      0      0      0      0   2619   1680    100      0  43113  43114      0      0      0      0   4449    395 
    0    693     64     63    100     54      0      0      0      0   2619   1800    100      0  43113  43114      0      0      0      0     30  11804 
    0    697     64     64    100     49      0      0      0      0   2619   1560    100      0  43113  43114      0      0      0      0   4450    395 
    0    688     63     64    100     54      0      0      0      0   2619   1860    100      0  43113  43114      0      0      0      0   4449    396 
    0    698     64     64    100     54      0      0      0      0   2619   1725    100      0  43113  43114      0      0      0      0     34  12354 
    0    693     64     64    100     53      0      0      0      0   2619   1575    100      0  43113  43114      0      0      0      0   4444    188 
    0    694     65     64    100     55      0      0      0      0   2619   1680    100      0  43113  43114      0      0      0      0   4449    395 
    0    698     65     64    100     55      0      0      0      0   2619   1830    100      0  43113  43114      0      0      0      0   4452    397 
    0    697     65     64    100     54      0      0      0      0   2619   1605    100      0  43113  43114      0      0      0      0     36      9 
    0    699     66     64    100     56      0      0      0      0   2619   1635    100      0  43113  43114      0      0      0      0   4449    300 
    0    688     66     65    100     54      0      0      0      0   2619   1770    100      0  43113  43114      0      0      0      0   4450    396 
    0    695     65     65    100     54      0      0      0      0   2619   1560    100      0  43113  43114      0      0      0      0     38   8974 
    0    700     65     64    100     54      0      0      0      0   2619   1710    100      0  43113  43114      0      0      0      0   4446    394 
    0    692     65     65    100     54      0      0      0      0   2619   1755    100      0  43113  43114      0      0      0      0   4449    395 
    0    701     66     64     94     53      0      0      0      0   2619   1635    100      0  43113  43114      0      0      0      0     30   8970 
    0    689     66     65    100     54      0      0      0      0   2619   1770    100      0  43113  43114      0      0      0      0   4449    395 
    0    694     66     64    100     55      0      0      0      0   2619   1725    100      0  43113  43114      0      0      0      0   4449    395 
