# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    668     65     64    100     49      0      0      0      0   2619   1635      0      0  43113  43114      0      0      0      0     38   8971 
    0    682     66     64    100     50      0      0      0      0   2619   1800    100      0  43113  43114      0      0      0      0   4453    396 
    0    667     65     64    100     47      0      0      0      0   2619   1545    100      0  43113  43114      0      0      0      0     35  13454 
    0    677     66     65    100     47      0      0      0      0   2619   1710    100      0  43113  43114      0      0      0      0   4450    396 
    0    671     65     64    100     47      0      0      0      0   2619   1590    100      0  43113  43114      0      0      0      0     27     10 
    0    683     66     65    100     49      0      0      0      0   2619   1620    100      0  43113  43114      0      0      0      0   4449    395 
    0    678     66     67    100     47      0      0      0      0   2619   1395    100      0  43113  43114      0      0      0      0   6186    395 
    0    663     66     64    100     48      0      0      0      0   2619   1680    100      0  43113  43114      0      0      0      0   4455    395 
    0    680     66     65    100     49      0      0      0      0   2619   1845    100      0  43113  43114      0      0      0      0   6825    395 
    0    667     66     64    100     49      0      0      0      0   2619   1710    100      0  43113  43114      0      0      0      0     39   8971 
    0    677     67     64    100     49      0      0      0      0   2619   1680    100      0  43113  43114      0      0      0      0   4452    395 
    0    668     65     64     92     44      0      0      0      0   2619   1590    100      0  43113  43114      0      0      0      0     36  13451 
    0    672     68     64    100     49      0      0      0      0   2619   1695    100      0  43113  43114      0      0      0      0   4453    395 
    0    688     66     64    100     47      0      0      0      0   2619   1590    100      0  43113  43114      0      0      0      0     44   8973 
    0    674     67     66    100     49      0      0      0      0   2619   1785    100      0  43113  43114      0      0      0      0   4452    395 
    0    671     67     66    100     47      0      0      0      0   2619   1545    100      0  43113  43114      0      0      0      0     42    395 
    0    665     68     66    100     49      0      0      0      0   2619   1710    100      0  43113  43114      0      0      0      0   4450    395 
